id,title,epic,priority,gate,status,owner,points,findings,dependencies,path
TASK-LP-001,Approve the independent reading-product brief and explicit non-goals,EPIC-LP-01,P1,G1: internal prototype,Proposed — review required,Product lead + educator,5,F01;F34;F40,,../../../../docs/tasks/learning-product/TASK-LP-001.md
TASK-LP-002,"Establish educator ownership, content rights, and instructional review",EPIC-LP-01,P1,G1: internal prototype,Proposed — review required,Educator lead + product,5,F01;F33;F37,TASK-LP-001,../../../../docs/tasks/learning-product/TASK-LP-002.md
TASK-LP-003,Design a consented feasibility pilot and external demand study,EPIC-LP-01,P1,G2: consented pilot,Proposed — review required,Product researcher + educator,8,F01;F36;F40,TASK-LP-001,../../../../docs/tasks/learning-product/TASK-LP-003.md
TASK-LP-004,Qualify NYC channels and classroom policy requirements,EPIC-LP-01,P1,G4: institutional use,Proposed — review required,Product + school partnerships + privacy lead,5,F40,TASK-LP-001,../../../../docs/tasks/learning-product/TASK-LP-004.md
TASK-LP-005,Define separate digital and tutoring offers with testable economics,EPIC-LP-01,P1,G3: paid digital release,Proposed — review required,Product + business owner,5,F01;F32;F40,TASK-LP-001;TASK-LP-003,../../../../docs/tasks/learning-product/TASK-LP-005.md
TASK-LP-006,Review and release the existing billing and signed-PDF security repairs,EPIC-LP-02,P0,G0: protect existing users,Implemented locally — deployment and historical verification outstanding,Security + backend + release owner,5,F07;F08,,../../../../docs/tasks/learning-product/TASK-LP-006.md
TASK-LP-007,Separate all instructor-private notes from parent-readable records,EPIC-LP-02,P0,G0: protect existing users,Proposed — review required,Backend + web + privacy,8,F09,TASK-LP-076,../../../../docs/tasks/learning-product/TASK-LP-007.md
TASK-LP-008,Make student identity and enrollment authority server-controlled,EPIC-LP-02,P0,G0: protect existing users,Proposed — review required,Backend + data,8,F10,TASK-LP-014;TASK-LP-076,../../../../docs/tasks/learning-product/TASK-LP-008.md
TASK-LP-009,Constrain notification edits and enforce resource visibility,EPIC-LP-02,P0,G0: protect existing users,Proposed — review required,Backend + web,5,F12,TASK-LP-008,../../../../docs/tasks/learning-product/TASK-LP-009.md
TASK-LP-010,Add bounded validation and abuse protection to public endpoints,EPIC-LP-02,P0,G0: protect existing users,Proposed — review required,Backend + security,8,F22,TASK-LP-054;TASK-LP-058,../../../../docs/tasks/learning-product/TASK-LP-010.md
TASK-LP-011,Remove production test-account credential defaults and isolate test access,EPIC-LP-02,P0,G0: protect existing users,Proposed — review required,Security + QA + operations,5,F23;F38,TASK-LP-054,../../../../docs/tasks/learning-product/TASK-LP-011.md
TASK-LP-012,Bind signed agreements to canonical terms and owned enrollment records,EPIC-LP-02,P0,G0: protect existing users,Proposed — review required,Backend + web + legal reviewer,8,F17,TASK-LP-014;TASK-LP-076,../../../../docs/tasks/learning-product/TASK-LP-012.md
TASK-LP-013,Align IEP and report storage paths with ownership and safe delivery,EPIC-LP-02,P0,G0: protect existing users,Proposed — review required,Backend + web + privacy,8,F16,TASK-LP-014;TASK-LP-076,../../../../docs/tasks/learning-product/TASK-LP-013.md
TASK-LP-014,"Define the canonical account, learner, enrollment, and program data contract",EPIC-LP-03,P1,G1: internal prototype,Proposed — review required,Data architect + backend + client leads,8,F10;F20;F33;F35;F43,TASK-LP-001,../../../../docs/tasks/learning-product/TASK-LP-014.md
TASK-LP-015,Implement adult consent and child-data minimization before cloud collection,EPIC-LP-03,P0,G2: consented pilot,Proposed — review required,Privacy lead + backend + iOS + web,8,F06;F39,TASK-LP-014,../../../../docs/tasks/learning-product/TASK-LP-015.md
TASK-LP-016,Build an accessible adult gate and parent control center,EPIC-LP-03,P0,G2: consented pilot,Proposed — review required,iOS + product design,5,F06;F32,TASK-LP-015,../../../../docs/tasks/learning-product/TASK-LP-016.md
TASK-LP-017,Scope SwiftData records to accounts and learners with a safe legacy migration,EPIC-LP-03,P0,G2: consented pilot,Proposed — review required,iOS data engineer,8,F04;F10;F43,TASK-LP-014;TASK-LP-073;TASK-LP-076,../../../../docs/tasks/learning-product/TASK-LP-017.md
TASK-LP-018,Restore progress and active learner before enabling the journey,EPIC-LP-03,P0,G2: consented pilot,Proposed — review required,iOS,8,F04;F05,TASK-LP-017;TASK-LP-019;TASK-LP-020,../../../../docs/tasks/learning-product/TASK-LP-018.md
TASK-LP-019,Replace anonymous migration with a proven identity-linking flow,EPIC-LP-03,P0,G2: consented pilot,Proposed — review required,iOS + backend + security,8,F05,TASK-LP-014;TASK-LP-015;TASK-LP-017,../../../../docs/tasks/learning-product/TASK-LP-019.md
